contract_id,symbol,expiration,strike,type,last_price,mark,bid,ask,bid_size,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY250915P00517000,SPY,2025-09-15,517.0,put,0.0,0.01,0.0,0.01,0,182,0,440,2025-09-15,1.48313,-0.00068,5e-05,-0.06038,0.00082,-1e-05
SPY250915C00518000,SPY,2025-09-15,518.0,call,0.0,142.38,140.99,143.78,60,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06144,0.0,0.01419
SPY250915P00518000,SPY,2025-09-15,518.0,put,0.0,0.01,0.0,0.01,0,182,0,169,2025-09-15,1.48313,-0.00074,5e-05,-0.06538,0.00088,-1e-05
SPY250915C00519000,SPY,2025-09-15,519.0,call,0.0,141.39,139.99,142.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06156,0.0,0.01422
SPY250915P00519000,SPY,2025-09-15,519.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.46362,-0.0007,5e-05,-0.06127,0.00084,-1e-05
SPY250915C00520000,SPY,2025-09-15,520.0,call,0.0,140.39,138.99,141.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06168,0.0,0.01424
SPY250915P00520000,SPY,2025-09-15,520.0,put,0.0,0.01,0.0,0.01,0,182,0,2016,2025-09-15,1.46362,-0.00076,5e-05,-0.06637,0.00091,-1e-05
SPY250915C00521000,SPY,2025-09-15,521.0,call,0.0,139.39,137.99,140.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.0618,0.0,0.01427
SPY250915P00521000,SPY,2025-09-15,521.0,put,0.0,0.01,0.0,0.01,0,182,0,2016,2025-09-15,1.44411,-0.00072,5e-05,-0.06217,0.00086,-1e-05
SPY250915C00522000,SPY,2025-09-15,522.0,call,0.0,138.38,136.99,139.78,50,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06192,0.0,0.0143
SPY250915P00522000,SPY,2025-09-15,522.0,put,0.0,0.01,0.0,0.01,0,182,0,2,2025-09-15,1.4246,-0.00068,5e-05,-0.0581,0.00082,-1e-05
SPY250915C00523000,SPY,2025-09-15,523.0,call,0.0,137.39,135.99,138.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06204,0.0,0.01433
SPY250915P00523000,SPY,2025-09-15,523.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.4246,-0.00074,5e-05,-0.06306,0.00089,-1e-05
SPY250915C00524000,SPY,2025-09-15,524.0,call,0.0,136.38,134.99,137.78,50,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06215,0.0,0.01435
SPY250915P00524000,SPY,2025-09-15,524.0,put,0.0,0.01,0.0,0.01,0,182,0,288,2025-09-15,1.40509,-0.0007,5e-05,-0.05889,0.00084,-1e-05
SPY250915C00525000,SPY,2025-09-15,525.0,call,0.0,135.39,133.99,136.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06227,0.0,0.01438
SPY250915P00525000,SPY,2025-09-15,525.0,put,0.0,0.01,0.0,0.01,0,182,0,293,2025-09-15,1.40509,-0.00077,5e-05,-0.06396,0.00091,-1e-05
SPY250915C00526000,SPY,2025-09-15,526.0,call,0.0,134.39,132.99,135.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06239,0.0,0.01441
SPY250915P00526000,SPY,2025-09-15,526.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.38558,-0.00072,5e-05,-0.05969,0.00086,-1e-05
SPY250915C00527000,SPY,2025-09-15,527.0,call,0.0,133.39,131.99,134.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06251,0.0,0.01444
SPY250915P00527000,SPY,2025-09-15,527.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.38558,-0.00079,6e-05,-0.06486,0.00094,-1e-05
SPY250915C00528000,SPY,2025-09-15,528.0,call,0.0,132.4,130.99,133.8,60,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06263,0.0,0.01446
SPY250915P00528000,SPY,2025-09-15,528.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.36606,-0.00074,5e-05,-0.06048,0.00089,-1e-05
SPY250915C00529000,SPY,2025-09-15,529.0,call,0.0,131.4,130.0,132.8,3,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06275,0.0,0.01449
SPY250915P00529000,SPY,2025-09-15,529.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.36606,-0.00081,6e-05,-0.06576,0.00096,-2e-05
SPY250915C00530000,SPY,2025-09-15,530.0,call,0.0,130.39,129.0,131.79,5,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06287,0.0,0.01452
SPY250915P00530000,SPY,2025-09-15,530.0,put,0.0,0.01,0.0,0.01,0,182,0,15,2025-09-15,1.34655,-0.00077,6e-05,-0.06127,0.00091,-1e-05
SPY250915C00531000,SPY,2025-09-15,531.0,call,0.0,129.39,128.0,130.78,3,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06299,0.0,0.01455
SPY250915P00531000,SPY,2025-09-15,531.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.34655,-0.00084,6e-05,-0.06666,0.00099,-2e-05
SPY250915C00532000,SPY,2025-09-15,532.0,call,0.0,128.39,127.0,129.79,4,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.0631,0.0,0.01457
SPY250915P00532000,SPY,2025-09-15,532.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.32704,-0.00079,6e-05,-0.06205,0.00094,-1e-05
SPY250915C00533000,SPY,2025-09-15,533.0,call,0.0,127.39,126.0,128.78,4,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06322,0.0,0.0146
SPY250915P00533000,SPY,2025-09-15,533.0,put,0.0,0.01,0.0,0.01,0,182,0,320,2025-09-15,1.30753,-0.00074,6e-05,-0.05763,0.00088,-1e-05
SPY250915C00534000,SPY,2025-09-15,534.0,call,0.0,126.4,125.0,127.79,5,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06334,0.0,0.01463
SPY250915P00534000,SPY,2025-09-15,534.0,put,0.0,0.01,0.0,0.01,0,182,0,390,2025-09-15,1.30753,-0.00081,6e-05,-0.06284,0.00096,-1e-05
SPY250915C00535000,SPY,2025-09-15,535.0,call,0.0,125.39,124.0,126.78,3,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06346,0.0,0.01466
SPY250915P00535000,SPY,2025-09-15,535.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.28802,-0.00076,6e-05,-0.0583,0.00091,-1e-05
SPY250915C00536000,SPY,2025-09-15,536.0,call,0.0,124.4,123.0,125.8,6,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06358,0.0,0.01468
SPY250915P00536000,SPY,2025-09-15,536.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.28802,-0.00084,6e-05,-0.06363,0.00099,-2e-05
SPY250915C00537000,SPY,2025-09-15,537.0,call,0.0,123.39,122.0,124.78,6,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.0637,0.0,0.01471
SPY250915P00537000,SPY,2025-09-15,537.0,put,0.0,0.01,0.0,0.01,0,182,0,281,2025-09-15,1.26851,-0.00078,6e-05,-0.05898,0.00093,-1e-05
SPY250915C00538000,SPY,2025-09-15,538.0,call,0.0,122.39,121.0,123.78,6,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06382,0.0,0.01474
SPY250915P00538000,SPY,2025-09-15,538.0,put,0.0,0.01,0.0,0.01,0,182,0,280,2025-09-15,1.26851,-0.00086,7e-05,-0.06442,0.00102,-2e-05
SPY250915C00539000,SPY,2025-09-15,539.0,call,0.0,121.39,120.0,122.78,6,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06393,0.0,0.01477
SPY250915P00539000,SPY,2025-09-15,539.0,put,0.0,0.01,0.0,0.01,0,182,0,275,2025-09-15,1.24899,-0.00081,6e-05,-0.05965,0.00096,-1e-05
SPY250915C00540000,SPY,2025-09-15,540.0,call,0.0,120.4,119.0,121.8,5,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06405,0.0,0.01479
SPY250915P00540000,SPY,2025-09-15,540.0,put,0.0,0.01,0.0,0.01,0,182,0,47,2025-09-15,1.24899,-0.00089,7e-05,-0.0652,0.00105,-2e-05
SPY250915C00541000,SPY,2025-09-15,541.0,call,0.0,119.4,118.0,120.8,3,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06417,0.0,0.01482
SPY250915P00541000,SPY,2025-09-15,541.0,put,0.0,0.01,0.0,0.01,0,182,0,4,2025-09-15,1.22948,-0.00083,7e-05,-0.06032,0.00098,-2e-05
SPY250915C00542000,SPY,2025-09-15,542.0,call,0.0,118.4,117.0,119.8,7,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06429,0.0,0.01485
SPY250915P00542000,SPY,2025-09-15,542.0,put,0.0,0.01,0.0,0.01,0,182,0,13,2025-09-15,1.22948,-0.00092,7e-05,-0.06599,0.00107,-2e-05
SPY250915C00543000,SPY,2025-09-15,543.0,call,0.0,117.4,116.0,118.79,7,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06441,0.0,0.01487
SPY250915P00543000,SPY,2025-09-15,543.0,put,0.0,0.01,0.0,0.01,0,182,0,3,2025-09-15,1.20997,-0.00086,7e-05,-0.06098,0.00101,-2e-05
SPY250915C00544000,SPY,2025-09-15,544.0,call,0.0,116.39,115.0,117.78,7,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06453,0.0,0.0149
SPY250915P00544000,SPY,2025-09-15,544.0,put,0.0,0.01,0.0,0.01,0,182,0,120,2025-09-15,1.19046,-0.0008,7e-05,-0.05619,0.00094,-1e-05
SPY250915C00545000,SPY,2025-09-15,545.0,call,0.0,115.4,114.0,116.79,3,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06465,0.0,0.01493
SPY250915P00545000,SPY,2025-09-15,545.0,put,0.0,0.01,0.0,0.01,0,182,0,1,2025-09-15,1.19046,-0.00088,7e-05,-0.06164,0.00104,-2e-05
SPY250915C00546000,SPY,2025-09-15,546.0,call,0.0,114.39,113.0,115.78,8,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06476,0.0,0.01496
SPY250915P00546000,SPY,2025-09-15,546.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.17095,-0.00082,7e-05,-0.05673,0.00097,-2e-05
SPY250915C00547000,SPY,2025-09-15,547.0,call,0.0,113.4,112.0,114.79,7,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06488,0.0,0.01498
SPY250915P00547000,SPY,2025-09-15,547.0,put,0.0,0.01,0.0,0.01,0,182,0,51,2025-09-15,1.17095,-0.00091,8e-05,-0.06229,0.00107,-2e-05
SPY250915C00548000,SPY,2025-09-15,548.0,call,0.0,112.39,111.0,113.78,8,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.065,0.0,0.01501
SPY250915P00548000,SPY,2025-09-15,548.0,put,0.0,0.01,0.0,0.01,0,182,0,96,2025-09-15,1.15144,-0.00084,7e-05,-0.05726,0.001,-2e-05
SPY250915C00549000,SPY,2025-09-15,549.0,call,0.0,111.4,110.0,112.8,3,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06512,0.0,0.01504
SPY250915P00549000,SPY,2025-09-15,549.0,put,0.0,0.01,0.0,0.01,0,182,0,20,2025-09-15,1.15144,-0.00093,8e-05,-0.06294,0.00109,-2e-05
SPY250915C00550000,SPY,2025-09-15,550.0,call,110.0,110.39,109.0,111.78,3,1,10,2,2025-09-15,0.01976,1.0,0.0,-0.06524,0.0,0.01507
SPY250915P00550000,SPY,2025-09-15,550.0,put,0.0,0.01,0.0,0.01,0,182,0,27,2025-09-15,1.13192,-0.00087,8e-05,-0.05779,0.00102,-2e-05
SPY250915C00551000,SPY,2025-09-15,551.0,call,0.0,109.39,108.0,110.78,3,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06536,0.0,0.01509
SPY250915P00551000,SPY,2025-09-15,551.0,put,0.0,0.01,0.0,0.01,0,182,0,2,2025-09-15,1.13192,-0.00096,8e-05,-0.06359,0.00112,-2e-05
SPY250915C00552000,SPY,2025-09-15,552.0,call,0.0,108.4,107.0,109.79,8,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06548,0.0,0.01512
SPY250915P00552000,SPY,2025-09-15,552.0,put,0.0,0.01,0.0,0.01,0,182,0,100,2025-09-15,1.11241,-0.00089,8e-05,-0.05831,0.00105,-2e-05
SPY250915C00553000,SPY,2025-09-15,553.0,call,0.0,107.39,106.0,108.78,4,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06559,0.0,0.01515
SPY250915P00553000,SPY,2025-09-15,553.0,put,0.0,0.01,0.0,0.01,0,182,0,138,2025-09-15,1.11241,-0.00099,9e-05,-0.06423,0.00116,-2e-05
SPY250915C00554000,SPY,2025-09-15,554.0,call,0.0,106.4,105.0,107.79,8,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06571,0.0,0.01518
SPY250915P00554000,SPY,2025-09-15,554.0,put,0.0,0.01,0.0,0.01,0,182,0,333,2025-09-15,1.0929,-0.00092,8e-05,-0.05882,0.00108,-2e-05
SPY250915C00555000,SPY,2025-09-15,555.0,call,0.0,105.4,104.0,106.79,7,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06583,0.0,0.0152
SPY250915P00555000,SPY,2025-09-15,555.0,put,0.0,0.01,0.0,0.01,0,182,0,8,2025-09-15,1.0929,-0.00102,9e-05,-0.06486,0.00119,-2e-05
SPY250915C00556000,SPY,2025-09-15,556.0,call,104.03,104.39,103.0,105.78,7,1,1,1,2025-09-15,0.01976,1.0,0.0,-0.06595,0.0,0.01523
SPY250915P00556000,SPY,2025-09-15,556.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.07339,-0.00095,9e-05,-0.05933,0.00111,-2e-05
SPY250915C00557000,SPY,2025-09-15,557.0,call,0.0,103.4,102.0,104.79,3,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06607,0.0,0.01526
SPY250915P00557000,SPY,2025-09-15,557.0,put,0.0,0.01,0.0,0.01,0,182,0,1,2025-09-15,1.07339,-0.00105,0.0001,-0.06549,0.00122,-2e-05
SPY250915C00558000,SPY,2025-09-15,558.0,call,0.0,102.39,101.0,103.78,7,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06619,0.0,0.01529
SPY250915P00558000,SPY,2025-09-15,558.0,put,0.0,0.01,0.0,0.01,0,182,0,21,2025-09-15,1.05388,-0.00097,9e-05,-0.05982,0.00114,-2e-05
SPY250915C00559000,SPY,2025-09-15,559.0,call,0.0,101.4,100.0,102.79,7,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06631,0.0,0.01531
SPY250915P00559000,SPY,2025-09-15,559.0,put,0.0,0.01,0.0,0.01,0,182,0,30,2025-09-15,1.03437,-0.0009,9e-05,-0.05443,0.00105,-2e-05
SPY250915C00560000,SPY,2025-09-15,560.0,call,0.0,100.39,99.0,101.78,3,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06642,0.0,0.01534
SPY250915P00560000,SPY,2025-09-15,560.0,put,0.0,0.01,0.0,0.01,0,182,0,5,2025-09-15,1.03437,-0.001,9e-05,-0.06031,0.00117,-2e-05
SPY250915C00561000,SPY,2025-09-15,561.0,call,0.0,99.4,98.0,100.79,6,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06654,0.0,0.01537
SPY250915P00561000,SPY,2025-09-15,561.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.01485,-0.00092,9e-05,-0.0548,0.00108,-2e-05
SPY250915C00562000,SPY,2025-09-15,562.0,call,0.0,98.4,97.0,99.79,5,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06666,0.0,0.0154
SPY250915P00562000,SPY,2025-09-15,562.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.01485,-0.00103,0.0001,-0.06079,0.0012,-2e-05
SPY250915C00563000,SPY,2025-09-15,563.0,call,0.0,97.39,96.0,98.78,6,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06678,0.0,0.01542
SPY250915P00563000,SPY,2025-09-15,563.0,put,0.0,0.01,0.0,0.01,0,182,0,36,2025-09-15,0.99534,-0.00095,9e-05,-0.05514,0.00111,-2e-05
SPY250915C00564000,SPY,2025-09-15,564.0,call,0.0,96.4,95.0,97.8,6,24,0,0,2025-09-15,0.01976,1.0,0.0,-0.0669,0.0,0.01545
SPY250915P00564000,SPY,2025-09-15,564.0,put,0.0,0.01,0.0,0.01,0,182,0,10,2025-09-15,0.99534,-0.00106,0.0001,-0.06126,0.00123,-2e-05
SPY250915C00565000,SPY,2025-09-15,565.0,call,92.82,95.39,93.99,96.79,50,10,0,6,2025-09-15,0.01976,1.0,0.0,-0.06702,0.0,0.01548
SPY250915P00565000,SPY,2025-09-15,565.0,put,0.01,0.01,0.0,0.01,0,182,4,3230,2025-09-15,0.97583,-0.00098,0.0001,-0.05548,0.00114,-2e-05
SPY250915C00566000,SPY,2025-09-15,566.0,call,0.0,94.4,93.0,95.8,5,24,0,0,2025-09-15,0.01976,1.0,0.0,-0.06714,0.0,0.01551
SPY250915P00566000,SPY,2025-09-15,566.0,put,0.0,0.01,0.0,0.01,0,182,0,3201,2025-09-15,0.97583,-0.0011,0.00011,-0.06172,0.00127,-2e-05
SPY250915C00567000,SPY,2025-09-15,567.0,call,0.0,93.4,92.0,94.8,6,24,0,0,2025-09-15,0.01976,1.0,0.0,-0.06726,0.0,0.01553
SPY250915P00567000,SPY,2025-09-15,567.0,put,0.01,0.01,0.0,0.01,0,182,4,387,2025-09-15,0.95632,-0.001,0.0001,-0.0558,0.00117,-2e-05
SPY250915C00568000,SPY,2025-09-15,568.0,call,0.0,92.39,91.0,93.78,6,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06737,0.0,0.01556
SPY250915P00568000,SPY,2025-09-15,568.0,put,0.0,0.01,0.0,0.01,0,182,0,51,2025-09-15,0.95632,-0.00113,0.00011,-0.06218,0.0013,-2e-05
SPY250915C00569000,SPY,2025-09-15,569.0,call,88.56,91.4,90.0,92.79,6,10,0,30,2025-09-15,0.01976,1.0,0.0,-0.06749,0.0,0.01559
SPY250915P00569000,SPY,2025-09-15,569.0,put,0.0,0.01,0.0,0.01,0,182,0,5,2025-09-15,0.93681,-0.00103,0.00011,-0.05612,0.0012,-2e-05
SPY250915C00570000,SPY,2025-09-15,570.0,call,87.85,90.39,89.0,91.78,5,1,0,4,2025-09-15,0.01976,1.0,0.0,-0.06761,0.0,0.01561
SPY250915P00570000,SPY,2025-09-15,570.0,put,0.0,0.01,0.0,0.01,0,182,0,271,2025-09-15,0.93681,-0.00116,0.00012,-0.06262,0.00134,-2e-05
SPY250915C00571000,SPY,2025-09-15,571.0,call,0.0,89.39,88.0,90.78,5,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06773,0.0,0.01564
SPY250915P00571000,SPY,2025-09-15,571.0,put,0.0,0.01,0.0,0.01,0,182,0,18,2025-09-15,0.91729,-0.00106,0.00011,-0.05642,0.00123,-2e-05
SPY250915C00572000,SPY,2025-09-15,572.0,call,0.0,88.4,87.0,89.79,3,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06785,0.0,0.01567
SPY250915P00572000,SPY,2025-09-15,572.0,put,0.0,0.01,0.0,0.01,0,182,0,3,2025-09-15,0.91729,-0.0012,0.00013,-0.06306,0.00138,-2e-05
SPY250915C00573000,SPY,2025-09-15,573.0,call,0.0,87.4,86.0,88.79,4,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06797,0.0,0.0157
SPY250915P00573000,SPY,2025-09-15,573.0,put,0.01,0.01,0.0,0.01,0,182,2,1527,2025-09-15,0.89778,-0.00109,0.00012,-0.0567,0.00127,-2e-05
SPY250915C00574000,SPY,2025-09-15,574.0,call,0.0,86.39,85.0,87.78,3,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06809,0.0,0.01572
SPY250915P00574000,SPY,2025-09-15,574.0,put,0.0,0.01,0.0,0.01,0,182,0,1422,2025-09-15,0.89778,-0.00124,0.00013,-0.06348,0.00142,-2e-05
SPY250915C00575000,SPY,2025-09-15,575.0,call,85.41,85.39,84.0,86.78,2,1,3,1,2025-09-15,0.01976,1.0,0.0,-0.0682,0.0,0.01575
SPY250915P00575000,SPY,2025-09-15,575.0,put,0.01,0.01,0.0,0.01,0,182,3,670,2025-09-15,0.87827,-0.00113,0.00012,-0.05698,0.0013,-2e-05
SPY250915C00576000,SPY,2025-09-15,576.0,call,0.0,84.4,83.0,85.8,4,24,0,0,2025-09-15,0.01976,1.0,0.0,-0.06832,0.0,0.01578
SPY250915P00576000,SPY,2025-09-15,576.0,put,0.0,0.01,0.0,0.01,0,182,0,273,2025-09-15,0.87827,-0.00128,0.00014,-0.0639,0.00146,-2e-05
SPY250915C00577000,SPY,2025-09-15,577.0,call,0.0,83.38,81.99,84.78,60,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06844,0.0,0.01581
SPY250915P00577000,SPY,2025-09-15,577.0,put,0.0,0.01,0.0,0.01,0,182,0,199,2025-09-15,0.85876,-0.00116,0.00013,-0.05724,0.00134,-2e-05
